imdb_title_id,original_title,year,genre,director,avg_vote,votes,go
tt0111161,The Shawshank Redemption,1994,6,Frank Darabont,9.3,2278845,0
tt0068646,The Godfather,1972,"5, 6",Francis Ford Coppola,9.2,1572674,0
tt0071562,The Godfather: Part II,1974,"5, 6",Francis Ford Coppola,9,1098714,0
tt0468569,The Dark Knight,2008,"0, 5, 6",Christopher Nolan,9,2241615,1
tt0050083,12 Angry Men,1957,"5, 6",Sidney Lumet,8.9,668473,0
tt0108052,Schindler's List,1993,"3, 6, 10",Steven Spielberg,8.9,1183248,0
tt0110912,Pulp Fiction,1994,"5, 6",Quentin Tarantino,8.9,1780147,1
tt0167260,The Lord of the Rings: The Return of the King,2003,"0, 1, 6",Peter Jackson,8.9,1604280,1
tt0060196,The Good The bad and The Ugly,1966,19,Sergio Leone,8.8,672499,0
tt0109830,Forrest Gump,1994,"6, 15",Robert Zemeckis,8.8,1755490,1
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"0, 1, 6",Peter Jackson,8.8,1619920,1
tt0137523,Fight Club,1999,6,David Fincher,8.8,1807440,0
tt1375666,Inception,2010,"0, 1, 16",Christopher Nolan,8.8,2002816,0
tt5813916,Dag II,2016,"0, 6, 18",Alper Caglar,8.8,103949,0
tt8110330,Dil Bechara,2020,"4, 6, 15",Mukesh Chhabra,8.8,101686,0
tt0073486,One Flew Over the Cuckoo's Nest,1975,6,Milos Forman,8.7,891071,0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"0, 1, 7",Irvin Kershner,8.7,1132073,0
tt0099685,Goodfellas,1990,"3, 5, 6",Martin Scorsese,8.7,991505,0
tt0133093,The Matrix,1999,"0, 16","Lana Wachowski, Lilly Wachowski",8.7,1632315,0
tt0167261,The Lord of the Rings: The Two Towers,2002,"0, 1, 6",Peter Jackson,8.7,1449778,1
tt0038650,It's a Wonderful Life,1946,"6, 8, 7",Frank Capra,8.6,388310,0
tt0047478,Shichinin no samurai,1954,"0, 1, 6",Akira Kurosawa,8.6,307958,0
tt0076759,Star Wars,1977,"0, 1, 7",George Lucas,8.6,1204107,0
tt0102926,The Silence of the Lambs,1991,"5, 6, 17",Jonathan Demme,8.6,1234134,0
tt0114369,Se7en,1995,"5, 6, 14",David Fincher,8.6,1402015,0
tt0118799,Life is Beautiful,1997,"4, 6, 15",Roberto Benigni,8.6,605648,0
tt0120689,The Green Mile,1999,"5, 6, 7",Frank Darabont,8.6,1112336,0
tt0120815,Saving Private Ryan,1998,"6, 18",Steven Spielberg,8.6,1203825,0
tt0245429,Spirited Away,2001,"2, 1, 8",Hayao Miyazaki,8.6,626693,0
tt0317248,City of God,2002,"5, 6","Fernando Meirelles, Kátia Lund",8.6,685856,0
tt0816692,Interstellar,2014,"1, 6, 16",Christopher Nolan,8.6,1449256,0
tt6751668,Parasite,2019,"4, 6, 17",Bong Joon Ho,8.6,470931,0
tt0021749,City Lights,1931,"4, 6, 15",Charles Chaplin,8.5,162668,0
tt0027977,Modern Times,1936,"4, 6, 8",Charles Chaplin,8.5,211250,0
tt0034583,Casablanca,1942,"6, 15, 18",Michael Curtiz,8.5,509953,0
tt0054215,Psycho,1960,"11, 14, 17",Alfred Hitchcock,8.5,586765,0
tt0064116,Once Upon a Time in the West,1968,19,Sergio Leone,8.5,295220,0
tt0088763,Back to the Future,1985,"1, 4, 16",Robert Zemeckis,8.5,1027330,1
tt0095327,Grave of the Fireflies,1988,"2, 6, 18",Isao Takahata,8.5,225438,0
tt0095765,Cinema Paradiso,1988,6,Giuseppe Tornatore,8.5,223050,0
tt0103064,Terminator 2: Judgment Day,1991,"0, 16",James Cameron,8.5,974970,0
tt0110357,The Lion King,1994,"2, 1, 6","Roger Allers, Rob Minkoff",8.5,917248,1
tt0110413,Leon,1994,"0, 5, 6",Luc Besson,8.5,1007598,0
tt0114814,The Usual Suspects,1995,"5, 14, 17",Bryan Singer,8.5,968947,0
